date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:17	103525/103525	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Sep%202021%2015:40:32%20GMT	https://afcofficial.store/wp-content/uploads/2021/09/IMG-20210911-WA0026.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2021/09/IMG-20210911-WA0026.jpg	(from https://afcofficial.store/)
12:03:19	244196/244196	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Dec%202020%2020:57:42%20GMT	https://afcofficial.store/wp-content/uploads/2020/12/product-gabungan.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/12/product-gabungan.png	(from https://afcofficial.store/)
12:03:19	40451/40451	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:38%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-1.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-1.jpg	(from https://afcofficial.store/)
12:03:20	48236/48236	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:39%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-2.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-2.jpg	(from https://afcofficial.store/)
12:03:21	49478/49478	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:39%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-3.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-3.jpg	(from https://afcofficial.store/)
12:03:22	44678/44678	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:40%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-4.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-4.jpg	(from https://afcofficial.store/)
12:03:23	51412/51412	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:40%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-5.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-5.jpg	(from https://afcofficial.store/)
12:03:24	36711/36711	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:40%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-6.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-6.jpg	(from https://afcofficial.store/)
12:03:25	57959/57959	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:41%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-7.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-7.jpg	(from https://afcofficial.store/)
12:03:26	56988/56988	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:41%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-8.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-8.jpg	(from https://afcofficial.store/)
